horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Mostly Cloudy (IRE)","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","8","4","Robinson, Ben","4","Tutty, Gemma","130","60","10","2.4",
"Mostly Cloudy (IRE)","18:45:00","2022-04-16","Nottingham","Flat (Turf)","Handicap","1m2f ","10","Good","11","Class 6","147","4","Robinson, Ben","33","Tutty, Gemma","128","60","5","6.65",
"Mostly Cloudy (IRE)","18:00:00","2021-11-20","Wolverhampton","All Weather","Novices","1m½f ","8.5","Standard To Fast","12","Class 5","12","10","Tutty, Gemma","200","Tutty, Mrs K J","125","0","2","27.75",
"Mostly Cloudy (IRE)","12:40:00","2021-11-08","Wolverhampton","All Weather","Maiden","7f ","7","Standard","12","Class 5","26","11","Beasley, Connor","28","Tutty, Mrs K J","131","0","11","17.81",
"Mostly Cloudy (IRE)","13:30:00","2021-10-13","Nottingham","Flat (Turf)","Maiden","1m½f ","8.5","Good To Soft","8","Class 5","No Prev","6","Bryan, Joshua","25","Balding, A M","131","0","1","13.15",
"My Brother Jack (IRE)","20:30:00","2022-03-26","Wolverhampton","All Weather","Handicap","1m4f ","12","Standard","9","Class 6","88","8","Lee, G","18","Pears, Ollie","131","63","5","6.4",
"My Brother Jack (IRE)","15:15:00","2021-12-28","Newcastle","All Weather","Novices","1m2f ","10","Standard To Slow","9","Class 5","21","7","Lee, G","125","Pears, Ollie","131","0","7","6.5",
"My Brother Jack (IRE)","19:00:00","2021-12-07","Southwell","All Weather","Novices","7f ","7","Standard To Slow","11","Class 5","25","7","Lee, G","150","Pears, Ollie","131","0","10","11.5",
"My Brother Jack (IRE)","15:10:00","2021-11-12","Newcastle","All Weather","Novices","7f ","7","Standard","14","Class 5","No Prev","12","Lee, G","100","Pears, Ollie","128","0","5","19.4",
"Notime To Pass (IRE)","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","256","7","Allan, David","14","Easterby, T D","126","56","8","7.15",
"Notime To Pass (IRE)","14:50:00","2021-08-11","Beverley","Flat (Turf)","Maiden","7½f ","7.5","Good","14","Class 4","8","10","Allan, David","150","Easterby, T D","131","0","14","14.25",
"Notime To Pass (IRE)","13:00:00","2021-08-03","Catterick","Flat (Turf)","Maiden","7f ","7","Good","10","Class 5","12","8","Sullivan, James P","66","Easterby, T D","131","0","10","13.9",
"Notime To Pass (IRE)","18:20:00","2021-07-22","Doncaster","Flat (Turf)","Novices","7f ","7","Good To Firm","12","Class 5","No Prev","11","Allan, David","80","Easterby, T D","131","0","3","15.5",
"Peace Angel","16:45:00","2022-05-10","Beverley","Flat (Turf)","Handicap","1m4f ","12","Good To Firm","9","Class 6","16","6","Schofield, Kieran","14","Coyle, Tony","116","46","2","6.5",
"Peace Angel","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","40","8","Schofield, Kieran","33","Coyle, Tony","113","48","5","7.65",
"Peace Angel","18:30:00","2022-03-15","Southwell","All Weather","Handicap","1m3f ","11","Standard","11","Class 6","12","6","Hardie, Cameron","28","Coyle, Tony","130","50","7","4.4",
"Peace Angel","20:30:00","2022-03-03","Southwell","All Weather","Handicap","1m4f ","12","Standard To Slow","6","Class 6","139","5","Hardie, Cameron","33","Coyle, Tony","125","52","7","2.25",
"Peace Angel","13:00:00","2021-10-15","Redcar","Flat (Turf)","Claimer","7f ","7","Good To Soft","11","Class 5","23","7","Winn, Mark","50","Coyle, Tony","111","54","13","8.53",
"Penelopeblueyes (IRE)","14:20:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m ","8","Good To Firm","12","Class 6","145","10","Edmunds, Lewis","28","Keatley, Adrian Paul","124","51","13","12.1",
"Penelopeblueyes (IRE)","19:15:00","2021-11-30","Newcastle","All Weather","Handicap Nursery","1m ","8","Standard","13","Class 6","50","8","Edmunds, Lewis","22","Keatley, Adrian Paul","122","54","3","5.33",
"Penelopeblueyes (IRE)","17:30:00","2021-10-11","Kempton","All Weather","Handicap Nursery","1m ","8","Standard To Slow","13","Class 6","9","12","Murtagh, Connor","28","Keatley, Adrian Paul","121","56","10","3.95",
"Penelopeblueyes (IRE)","16:52:00","2021-10-02","Wolverhampton","All Weather","Handicap Nursery","1m½f ","8.5","Standard","12","Class 6","35","6","McHugh, B","25","Keatley, Adrian Paul","131","58","10","1.95",
"Penelopeblueyes (IRE)","17:40:00","2021-08-28","Redcar","Flat (Turf)","Novices","7f ","7","Good To Firm","14","Class 5","16","11","Murtagh, Connor","80","Keatley, Adrian Paul","123","0","3","8.06",
"Thermometer (IRE)","18:00:00","2022-04-17","Southwell","All Weather","Handicap","1m4f ","12","Standard To Slow","9","Class 6","8","6","Swift, Mr Dale","14","Dixon, Scott","126","58","6","9.53",
"Thermometer (IRE)","16:57:00","2022-04-09","Wolverhampton","All Weather","Handicap","1m4f ","12","Standard","5","Class 5","8","4","ONeill, K T","11","Dixon, Scott","120","60","5","6.5",
